Metric,Mean,Std
Accuracy,0.7308201058201057,0.0385143451581635
Macro_Precision,0.707225726155338,0.0423843101766782
Macro_Recall,0.6932107338820303,0.037142632262465926
Macro_F1,0.6967273666563328,0.03886339674095347
Weighted_Precision,0.7285120355212471,0.035794055241351666
Weighted_Recall,0.7308201058201057,0.0385143451581635
Weighted_F1,0.7267459342064568,0.03674601784860621
Micro_Precision,0.7308201058201057,0.0385143451581635
Micro_Recall,0.7308201058201057,0.0385143451581635
Micro_F1,0.7308201058201057,0.038514345158163495
Integrated_Score,0.7187438870133221,0.03788574479492517
