Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Model:GradientBoosting,Model:XGBmodel,FeatureNum:6.0,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,FS_Method:infgain,FeatureNum:4.0,FS_Method:biMaxInfgain,FeatureNum:7.0,AugName:noAug,FeatureNum:5.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,Split_Ratio:0.2,Model:DTmodel
Model:LogisticRegression,,,,,0.9701714238740483,,0.9575865216700574,0.9575865216700574,0.9830858571386206,0.980943999708907,0.950079872626027,0.957710796979717,0.968428568328618,0.9659672023765803,0.968428568328618,0.9690876663574423,0.967759832421686,0.968428568328618,0.9741712452066549,0.9617410439040364,0.968428568328618,
Model:sklearn_SVM,,,,,0.9600006288247928,,0.9465260338165665,0.9465260338165665,0.9751391931077324,0.9725994369644798,0.937438988587225,0.9459906278651435,0.9581335043949301,0.9552826322289477,0.9581335043949301,0.9589158011096077,0.957341591415929,0.9581335043949301,0.9650695642240362,0.9502458569026413,0.9581335043949301,
Model:GradientBoosting,,,,,0.9973822180578659,,0.9958231023321864,0.9958231023321864,0.9921654369939854,0.9934152937048936,0.9983172878415808,0.9983772393420867,0.997315743004795,0.9977573715612646,0.997315743004795,0.9970967695268482,0.9975253485119292,0.997315743004795,0.9947837833666298,0.9989876792907051,0.997315743004795,
Model:XGBmodel,,,,,0.9940493980692784,,0.9945357196727025,0.9945357196727025,0.986200727900399,0.9879342767384315,0.9981657098797408,0.997117266553131,0.9943131895348256,0.9951829069367097,0.9943131895348256,0.9939805020495185,0.9946366082663414,0.9943131895348256,0.9907248987391443,0.9970582820712262,0.9943131895348256,
FeatureNum:6.0,0.9701714238740483,0.9600006288247928,0.9973822180578659,0.9940493980692784,,0.9815868540613262,0.9979616641894961,,0.998156813056518,,0.9973196050942437,,0.9999331323388299,,0.9999331323388299,0.9999337424373979,0.9999229929892459,0.9999331323388299,0.9995300482033955,0.999445362437006,0.9999331323388299,0.9264014502468966
Model:random_forest,,,,,0.9815868540613262,,0.9867630812458749,0.9867630812458749,0.9683341881159782,0.9710842090890471,0.992341083993108,0.9890121218580369,0.982614292732255,0.9843214553344266,0.982614292732255,0.9820649791295917,0.9831545835673774,0.982614292732255,0.9770520617222841,0.9873702229300971,0.982614292732255,
FS_Method:noSelect,0.9575865216700574,0.9465260338165665,0.9958231023321864,0.9945357196727025,0.9979616641894961,0.9867630812458749,,1.0,,0.9944928669667409,,0.9994019752330636,0.9986257640695179,0.9989320181853668,0.9986257640695179,0.9985754397218153,0.998666603249592,0.9986257640695179,0.9978268626963475,0.9985402793080548,0.9986257640695179,0.9464495844883232
FeatureNum:8.0,0.9575865216700574,0.9465260338165665,0.9958231023321864,0.9945357196727025,,0.9867630812458749,1.0,,0.9933782091981672,,0.9990052319828034,,0.9986257640695179,,0.9986257640695179,0.9985754397218153,0.998666603249592,0.9986257640695179,0.9978268626963475,0.9985402793080548,0.9986257640695179,0.9464495844883232
FS_Method:infgain,0.9830858571386206,0.9751391931077324,0.9921654369939854,0.986200727900399,0.998156813056518,0.9683341881159782,,0.9933782091981672,,0.9999314487864438,,0.9941361785917904,0.9976532617697909,0.9969446949040671,0.9976532617697909,0.9978157429691099,0.9974811725409726,0.9976532617697909,0.9987538883585546,0.995643704714805,0.9976532617697909,0.9033331825597228
FeatureNum:4.0,0.980943999708907,0.9725994369644798,0.9934152937048936,0.9879342767384315,,0.9710842090890471,0.9944928669667409,,0.9999314487864438,,0.9925164082494596,,0.9983504917425206,,0.9983504917425206,0.9984822728147705,0.9982091150579865,0.9983504917425206,0.9991697713222276,0.9966254212329305,0.9983504917425206,0.907840290993366
FS_Method:biMaxInfgain,0.950079872626027,0.937438988587225,0.9983172878415808,0.9981657098797408,0.9973196050942437,0.992341083993108,,0.9990052319828034,,0.9925164082494596,,0.9996756859518834,0.9978649154619861,0.9984420266521428,0.9978649154619861,0.9976871486659344,0.9980332834689671,0.9978649154619861,0.9958195090717499,0.9990432961112388,0.9978649154619861,0.9507460310258012
FeatureNum:7.0,0.957710796979717,0.9459906278651435,0.9983772393420867,0.997117266553131,,0.9890121218580369,0.9994019752330636,,0.9941361785917904,,0.9996756859518834,,0.9992026889942525,,0.9992026889942525,0.9990939001213687,0.9993020235018741,0.9992026889942525,0.9977984747500341,0.9997300991862961,0.9992026889942525,0.9433080532413033
AugName:noAug,0.968428568328618,0.9581335043949301,0.997315743004795,0.9943131895348256,0.9999331323388299,0.982614292732255,0.9986257640695179,0.9986257640695179,0.9976532617697909,0.9983504917425206,0.9978649154619861,0.9992026889942525,,0.9999457762649419,1.0,0.9999952396796808,0.9999952337665391,1.0,0.9995607037893569,0.9995488667628565,1.0,0.9300796510434378
FeatureNum:5.0,0.9659672023765803,0.9552826322289477,0.9977573715612646,0.9951829069367097,,0.9843214553344266,0.9989320181853668,,0.9969446949040671,,0.9984420266521428,,0.9999457762649419,,0.9999457762649441,0.9999150110782471,0.9999670315608096,0.9999457762649441,0.9992580545024209,0.9997464411550238,0.9999457762649441,0.9333486066128022
ImblName:noImbl,0.968428568328618,0.9581335043949301,0.997315743004795,0.9943131895348256,0.9999331323388299,0.982614292732255,0.9986257640695179,0.9986257640695179,0.9976532617697909,0.9983504917425206,0.9978649154619861,0.9992026889942525,1.0,0.9999457762649441,,0.9999952396796808,0.9999952337665391,1.0,0.9995607037893569,0.9995488667628565,1.0,0.9300796510434378
Norm_Order:first,0.9690876663574423,0.9589158011096077,0.9970967695268482,0.9939805020495185,0.9999337424373979,0.9820649791295917,0.9985754397218153,0.9985754397218153,0.9978157429691099,0.9984822728147705,0.9976871486659344,0.9990939001213687,0.9999952396796808,0.9999150110782471,0.9999952396796808,,,0.9999952396796821,0.9996471312690016,0.9994517028017186,0.9999952396796821,0.9293479576505912
Norm_Order:last,0.967759832421686,0.957341591415929,0.9975253485119292,0.9946366082663414,0.9999229929892459,0.9831545835673774,0.998666603249592,0.998666603249592,0.9974811725409726,0.9982091150579865,0.9980332834689671,0.9993020235018741,0.9999952337665391,0.9999670315608096,0.9999952337665391,,,0.999995233766539,0.9994646973244016,0.9996365658420089,0.999995233766539,0.9308029355363272
Prob_Threshold:0.5,0.968428568328618,0.9581335043949301,0.997315743004795,0.9943131895348256,0.9999331323388299,0.982614292732255,0.9986257640695179,0.9986257640695179,0.9976532617697909,0.9983504917425206,0.9978649154619861,0.9992026889942525,1.0,0.9999457762649441,1.0,0.9999952396796821,0.999995233766539,,0.9995607037893569,0.9995488667628565,1.0,0.9300796510434378
Scaler:minmax,0.9741712452066549,0.9650695642240362,0.9947837833666298,0.9907248987391443,0.9995300482033955,0.9770520617222841,0.9978268626963475,0.9978268626963475,0.9987538883585546,0.9991697713222276,0.9958195090717499,0.9977984747500341,0.9995607037893569,0.9992580545024209,0.9995607037893569,0.9996471312690016,0.9994646973244016,0.9995607037893569,,,0.9995607037893587,0.9231278102990698
Scaler:standard,0.9617410439040364,0.9502458569026413,0.9989876792907051,0.9970582820712262,0.999445362437006,0.9873702229300971,0.9985402793080548,0.9985402793080548,0.995643704714805,0.9966254212329305,0.9990432961112388,0.9997300991862961,0.9995488667628565,0.9997464411550238,0.9995488667628565,0.9994517028017186,0.9996365658420089,0.9995488667628565,,,0.9995488667628558,0.9362908713624887
