Metric,Mean,Std
Accuracy,0.7182539682539683,0.036081576189676196
Macro_Precision,0.6928688866580017,0.03843796789308198
Macro_Recall,0.682923525377229,0.030690144348737708
Macro_F1,0.685460216275204,0.03323589248872713
Weighted_Precision,0.7168203530117375,0.03150183837108235
Weighted_Recall,0.7182539682539683,0.036081576189676196
Weighted_F1,0.7154887860237523,0.03293818824229446
Micro_Precision,0.7182539682539683,0.036081576189676196
Micro_Recall,0.7182539682539683,0.036081576189676196
Micro_F1,0.7182539682539683,0.03608157618967618
Integrated_Score,0.7067052141511275,0.034184286808996
