Metric,Mean,Std
Accuracy,0.7405632220766319,0.04418686598495539
Macro_Precision,0.7187941831581856,0.051356944231303506
Macro_Recall,0.7015374770642971,0.04474338637331357
Macro_F1,0.7058124560636378,0.0463512846912048
Weighted_Precision,0.7385378074084067,0.043376485197498545
Weighted_Recall,0.7405632220766319,0.04418686598495538
Weighted_F1,0.7359650216230099,0.0428588589501225
Micro_Precision,0.7405632220766319,0.04418686598495539
Micro_Recall,0.7405632220766319,0.04418686598495539
Micro_F1,0.7405632220766319,0.04418686598495538
Integrated_Score,0.7283788572467389,0.0445816373104152
