Metric,Mean,Std
Accuracy,0.7366299489144317,0.04879461738623311
Macro_Precision,0.7121399242684249,0.0562524692923061
Macro_Recall,0.7001035575048733,0.04924996782982466
Macro_F1,0.702923531633575,0.05111696496917113
Weighted_Precision,0.7358747540624485,0.04760839779067209
Weighted_Recall,0.7366299489144317,0.048794617386233106
Weighted_F1,0.7336225930507858,0.04725737063763861
Micro_Precision,0.7366299489144317,0.04879461738623311
Micro_Recall,0.7366299489144317,0.04879461738623311
Micro_F1,0.7366299489144317,0.04879461738623311
Integrated_Score,0.7249457218520012,0.049228186017938796
