Cluster,Part
3,AugName:noAug
3,FeatureNum:4.0
3,ImblName:noImbl
3,Norm_Order:first
3,Norm_Order:last
3,Prob_Threshold:0.5
4,FS_Method:biMaxInfgain
4,FS_Method:noSelect
4,FeatureNum:6.0
4,FeatureNum:7.0
4,FeatureNum:8.0
2,FS_Method:infgain
2,Split_Ratio:0.25
2,Split_Ratio:0.3
5,FeatureNum:5.0
5,Model:GradientBoosting
5,Model:random_forest
5,Scaler:standard
10,Model:DTmodel
9,Model:LogisticRegression
7,Model:XGBmodel
8,Model:sklearn_SVM
1,Scaler:minmax
1,Split_Ratio:0.15
1,Split_Ratio:0.2
6,Split_Ratio:0.1
