Part_Label,Model:LogisticRegression,Split_Ratio:0.1,Model:XGBmodel,Split_Ratio:0.15,Model:sklearn_SVM,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:random_forest,Scaler:standard,FeatureNum:4.0,Split_Ratio:0.2,Split_Ratio:0.25,AugName:noAug,FS_Method:infgain,FeatureNum:6.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,Model:GradientBoosting,Scaler:minmax,Split_Ratio:0.3,Model:DTmodel
Model:LogisticRegression,,0.935351863956741,,0.9754425653794304,,0.9840248122415717,0.9744530031282707,0.9840248122415717,,0.9660741191865201,0.9870994098934177,0.9936314561671739,0.9894617337689185,0.9805631601101394,0.9907643107006624,0.9795301929446748,0.9773915711321284,0.9805631601101394,0.9804581316342805,0.9806677733165976,0.9805631601101394,0.963952732671343,,0.9898020406515878,0.9769700316370667,
Split_Ratio:0.1,0.935351863956741,,0.9954332970144685,,0.8883226982780131,0.9828941458620629,0.9891186219018786,0.9828941458620629,0.9908272654058062,0.994362882599121,0.9792942768689149,,,0.9856136265621303,0.9742657878605502,0.9860308350490087,0.9883043520046704,0.9856136265621303,0.9856866140554179,0.9855402930811354,0.9856136265621303,0.9936362725784647,0.9971379764330589,0.9745907812427017,,0.9841764629394345
Model:XGBmodel,,0.9954332970144685,,0.9974230800935873,,0.9949033632470892,0.9984941418371791,0.9949033632470892,,0.9997697899187858,0.9927198674926865,0.9857840394707273,0.9903466207750131,0.9965819510582653,0.9894011749696836,0.996919766028326,0.9977616728589578,0.9965819510582653,0.9966274461430122,0.9965360948140061,0.9965819510582653,0.9998220241184685,,0.9903661498899032,0.9952133135003235,
Split_Ratio:0.15,0.9754425653794304,,0.9974230800935873,,0.9435627877775166,0.9986807573832523,0.9986814962775836,0.9986807573832523,0.9974236213634161,0.9987209874769528,0.9976817572174409,,,0.9989778622570836,0.996022478380956,0.9988111039685178,0.9994116185084357,0.9989778622570836,0.9989802915755793,0.9989750536412758,0.9989778622570836,0.9973280196359319,0.9928875228918008,0.9957546944378916,,0.951166369757539
Model:sklearn_SVM,,0.8883226982780131,,0.9435627877775166,,0.956543212635801,0.9415190676105146,0.956543212635801,,0.929326323484742,0.9618836998011041,0.973941054020606,0.9659612538404012,0.9509900213864191,0.9684273249289204,0.9494097906684182,0.9460333567287742,0.9509900213864191,0.9508208133809436,0.9511587997087273,0.9509900213864191,0.9262402403933887,,0.9665812250348134,0.9464068523372194,
FS_Method:noSelect,0.9840248122415717,0.9828941458620629,0.9949033632470892,0.9986807573832523,0.956543212635801,,0.9987021921783438,1.0,0.9969660086422216,0.9966065551513564,0.9997765336894546,0.9976963555649925,0.998848833771504,0.9997982316035172,,0.999624315234641,0.9994158702546591,0.9997982316035172,0.9997867048191789,0.9998093731959936,0.9997982316035172,,0.9889488685871549,0.9991289180497843,0.9973075536867446,0.9380680622012827
FeatureNum:5.0,0.9744530031282707,0.9891186219018786,0.9984941418371791,0.9986814962775836,0.9415190676105146,0.9987021921783438,,,0.9996276401839775,0.999127678792714,,0.993057508683709,0.9964462627650876,0.9995052113396602,0.9955207972463367,,,0.9995052113396602,0.999524304435266,0.9994857454113081,0.9995052113396602,0.9990840037080266,0.9949343567059872,0.9963853362639287,0.9984981623009669,0.9528494491804457
FeatureNum:8.0,0.9840248122415717,0.9828941458620629,0.9949033632470892,0.9986807573832523,0.956543212635801,1.0,,,0.9969660086422216,0.9966065551513564,,0.9976963555649925,0.998848833771504,0.9997982316035172,0.9989889700222968,,,0.9997982316035172,0.9997867048191789,0.9998093731959936,0.9997982316035172,0.9957183942913109,0.9889488685871549,0.9991289180497843,0.9973075536867446,0.9380680622012827
Model:random_forest,,0.9908272654058062,,0.9974236213634161,,0.9969660086422216,0.9996276401839775,0.9969660086422216,,0.9992409360741501,0.9953637696922486,0.9896454021076471,0.9943320159584245,0.9982879065132039,0.9926885693843374,0.9986342531891081,0.9988406373215203,0.9982879065132039,0.9983235538790773,0.9982518933994659,0.9982879065132039,0.9997347516119676,,0.9940130978229502,0.9982833211987171,
Scaler:standard,0.9660741191865201,0.994362882599121,0.9997697899187858,0.9987209874769528,0.929326323484742,0.9966065551513564,0.999127678792714,0.9966065551513564,0.9992409360741501,,0.9948040197722972,0.9888131493691487,0.9923724087738998,0.9978830002048164,0.9919798388518445,0.9980815432470166,0.9988225461580778,0.9978830002048164,0.9979153665350375,0.9978502669684874,0.9978830002048164,0.9996456759309821,0.9975284399347767,,0.9957747257414259,0.9632908815994812
FeatureNum:4.0,0.9870994098934177,0.9792942768689149,0.9927198674926865,0.9976817572174409,0.9618836998011041,0.9997765336894546,,,0.9953637696922486,0.9948040197722972,,0.9987819150471644,0.9993061621532991,0.9992547557417503,0.9996772027117269,,,0.9992547557417503,0.9992315026739205,0.9992776191342279,0.9992547557417503,0.9937766645188327,0.9860629569557413,0.9996841610580475,0.9967051709332041,0.9315031248937081
