Metric,Mean,Std
Accuracy,0.7603949577189519,0.045304328862321254
Macro_Precision,0.7414308367259469,0.0527325529746822
Macro_Recall,0.7224825920304621,0.049031304813718514
Macro_F1,0.7276078601485104,0.04948564134621349
Weighted_Precision,0.7584212412794504,0.045837177364121746
Weighted_Recall,0.7603949577189519,0.04530432886232125
Weighted_F1,0.7558365729183965,0.04499121092455586
Micro_Precision,0.7603949577189519,0.045304328862321254
Micro_Recall,0.7603949577189519,0.045304328862321254
Micro_F1,0.7603949577189519,0.04530432886232125
Integrated_Score,0.7489081150512026,0.046686401638530384
