Metric,Mean,Std
Accuracy,0.7620322339431534,0.04551303138923149
Macro_Precision,0.7426852756287503,0.05263212527991768
Macro_Recall,0.7276505612504943,0.04757447210537062
Macro_F1,0.7318196934548759,0.04860469769679958
Weighted_Precision,0.760897610471114,0.04526666794771161
Weighted_Recall,0.7620322339431534,0.04551303138923149
Weighted_F1,0.7587078115208273,0.044702224220258296
Micro_Precision,0.7620322339431534,0.04551303138923149
Micro_Recall,0.7620322339431534,0.04551303138923149
Micro_F1,0.7620322339431534,0.04551303138923149
Integrated_Score,0.7515153640586526,0.046434145320070896
