Part_Label,Model:LogisticRegression,Split_Ratio:0.3,FeatureNum:4.0,Split_Ratio:0.25,Scaler:standard,Model:XGBmodel,Model:random_forest,FS_Method:infgain,Split_Ratio:0.2,Model:GradientBoosting
Model:LogisticRegression,,0.9936503463992076,0.9983222838805266,0.995130283762007,0.9907478811593032,,,0.9962326539280207,0.9917560837671324,
Split_Ratio:0.3,0.9936503463992076,,0.9981642968106506,,0.9995398826374118,0.9964145956870853,0.9813667805040389,0.9994254188863095,,0.9965654943680993
FeatureNum:4.0,0.9983222838805266,0.9981642968106506,,0.9991293779666185,0.9968347181589144,0.998579678125439,0.9683275230308351,0.999496625991709,0.9972207030687323,0.9901276704271199
Split_Ratio:0.25,0.995130283762007,,0.9991293779666185,,0.9990161779319738,0.9988952858214388,0.9742514573293845,0.9995848879878677,,0.9942888207809959
Scaler:standard,0.9907478811593032,0.9995398826374118,0.9968347181589144,0.9990161779319738,,0.9964238069204832,0.9830277124301908,0.9986612132006973,0.9997634871580495,0.9980382403712539
Model:XGBmodel,,0.9964145956870853,0.998579678125439,0.9988952858214388,0.9964238069204832,,,0.9982216494285134,0.9959776509262769,
Model:random_forest,,0.9813667805040389,0.9683275230308351,0.9742514573293845,0.9830277124301908,,,0.9753623270057737,0.9837702950187549,
FS_Method:infgain,0.9962326539280207,0.9994254188863095,0.999496625991709,0.9995848879878677,0.9986612132006973,0.9982216494285134,0.9753623270057737,,0.9990454946942483,0.9938753257140931
Split_Ratio:0.2,0.9917560837671324,,0.9972207030687323,,0.9997634871580495,0.9959776509262769,0.9837702950187549,0.9990454946942483,,0.9976996281570158
Model:GradientBoosting,,0.9965654943680993,0.9901276704271199,0.9942888207809959,0.9980382403712539,,,0.9938753257140931,0.9976996281570158,
