Metric,Mean,Std
Accuracy,0.7226589177255934,0.03990179445063665
Macro_Precision,0.6965930152975794,0.044459945545225754
Macro_Recall,0.686927673351485,0.0412537109473484
Macro_F1,0.6889884171513921,0.04255974572408206
Weighted_Precision,0.7210006665460305,0.03848649221285329
Weighted_Recall,0.7226589177255934,0.03990179445063665
Weighted_F1,0.7195022808580911,0.03910490410703706
Micro_Precision,0.7226589177255934,0.03990179445063665
Micro_Recall,0.7226589177255934,0.03990179445063665
Micro_F1,0.7226589177255934,0.03990179445063665
Integrated_Score,0.7107893073111692,0.040241052304723586
