PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.03697717293588645
FeatureNum,5.0,Accuracy,0.03798937409242668
FeatureNum,6.0,Accuracy,0.04052421684580539
FeatureNum,7.0,Accuracy,0.04552623215292533
FeatureNum,8.0,Accuracy,0.045507879933622084
FeatureNum,4.0,Macro_Precision,0.04457711567536258
FeatureNum,5.0,Macro_Precision,0.04234430468406314
FeatureNum,6.0,Macro_Precision,0.046181734843227504
FeatureNum,7.0,Macro_Precision,0.05071938677518957
FeatureNum,8.0,Macro_Precision,0.05253263861024834
FeatureNum,4.0,Macro_Recall,0.03226095091832147
FeatureNum,5.0,Macro_Recall,0.0385379247820728
FeatureNum,6.0,Macro_Recall,0.041768597552233
FeatureNum,7.0,Macro_Recall,0.046321261408597283
FeatureNum,8.0,Macro_Recall,0.04625515846442303
FeatureNum,4.0,Macro_F1,0.03551022567652033
FeatureNum,5.0,Macro_F1,0.039910451610351644
FeatureNum,6.0,Macro_F1,0.04319475767776406
FeatureNum,7.0,Macro_F1,0.048232144006575335
FeatureNum,8.0,Macro_F1,0.047862752278061416
FeatureNum,4.0,Weighted_Precision,0.035344645169617175
FeatureNum,5.0,Weighted_Precision,0.036556251557899364
FeatureNum,6.0,Weighted_Precision,0.03929566852372047
FeatureNum,7.0,Weighted_Precision,0.04366781508710051
FeatureNum,8.0,Weighted_Precision,0.04478610313973499
FeatureNum,4.0,Weighted_Recall,0.03697717293588644
FeatureNum,5.0,Weighted_Recall,0.03798937409242666
FeatureNum,6.0,Weighted_Recall,0.04052421684580539
FeatureNum,7.0,Weighted_Recall,0.04552623215292533
FeatureNum,8.0,Weighted_Recall,0.045507879933622084
FeatureNum,4.0,Weighted_F1,0.03424341975586468
FeatureNum,5.0,Weighted_F1,0.03697003323403449
FeatureNum,6.0,Weighted_F1,0.03948720057285459
FeatureNum,7.0,Weighted_F1,0.04455241478791726
FeatureNum,8.0,Weighted_F1,0.04418816190894124
FeatureNum,4.0,Micro_Precision,0.03697717293588645
FeatureNum,5.0,Micro_Precision,0.03798937409242668
FeatureNum,6.0,Micro_Precision,0.04052421684580539
FeatureNum,7.0,Micro_Precision,0.04552623215292533
FeatureNum,8.0,Micro_Precision,0.045507879933622084
FeatureNum,4.0,Micro_Recall,0.03697717293588645
FeatureNum,5.0,Micro_Recall,0.03798937409242668
FeatureNum,6.0,Micro_Recall,0.04052421684580539
FeatureNum,7.0,Micro_Recall,0.04552623215292533
FeatureNum,8.0,Micro_Recall,0.045507879933622084
FeatureNum,4.0,Micro_F1,0.03697717293588644
FeatureNum,5.0,Micro_F1,0.03798937409242666
FeatureNum,6.0,Micro_F1,0.04052421684580539
FeatureNum,7.0,Micro_F1,0.04552623215292533
FeatureNum,8.0,Micro_F1,0.045507879933622084
FeatureNum,4.0,Integrated_Score,0.03608490168155577
FeatureNum,5.0,Integrated_Score,0.0382437245723627
FeatureNum,6.0,Integrated_Score,0.04082230239320153
FeatureNum,7.0,Integrated_Score,0.045735920039398116
FeatureNum,8.0,Integrated_Score,0.04597241892223011
FS_Method,biMaxInfgain,Accuracy,0.039901794450636636
FS_Method,infgain,Accuracy,0.041328550882861796
FS_Method,noSelect,Accuracy,0.045507879933622084
FS_Method,biMaxInfgain,Macro_Precision,0.04445994554522576
FS_Method,infgain,Macro_Precision,0.04808689947517113
FS_Method,noSelect,Macro_Precision,0.05253263861024834
FS_Method,biMaxInfgain,Macro_Recall,0.041253710947348414
FS_Method,infgain,Macro_Recall,0.03960949566262957
FS_Method,noSelect,Macro_Recall,0.04625515846442303
FS_Method,biMaxInfgain,Macro_F1,0.04255974572408207
FS_Method,infgain,Macro_F1,0.042188198168664676
FS_Method,noSelect,Macro_F1,0.047862752278061416
FS_Method,biMaxInfgain,Weighted_Precision,0.03848649221285325
FS_Method,infgain,Weighted_Precision,0.039726465680871216
FS_Method,noSelect,Weighted_Precision,0.04478610313973499
FS_Method,biMaxInfgain,Weighted_Recall,0.039901794450636636
FS_Method,infgain,Weighted_Recall,0.041328550882861796
FS_Method,noSelect,Weighted_Recall,0.045507879933622084
FS_Method,biMaxInfgain,Weighted_F1,0.03910490410703706
FS_Method,infgain,Weighted_F1,0.039524674896147874
FS_Method,noSelect,Weighted_F1,0.04418816190894124
FS_Method,biMaxInfgain,Micro_Precision,0.039901794450636636
FS_Method,infgain,Micro_Precision,0.041328550882861796
FS_Method,noSelect,Micro_Precision,0.045507879933622084
FS_Method,biMaxInfgain,Micro_Recall,0.039901794450636636
FS_Method,infgain,Micro_Recall,0.041328550882861796
FS_Method,noSelect,Micro_Recall,0.045507879933622084
FS_Method,biMaxInfgain,Micro_F1,0.039901794450636636
FS_Method,infgain,Micro_F1,0.04132855088286179
FS_Method,noSelect,Micro_F1,0.045507879933622084
FS_Method,biMaxInfgain,Integrated_Score,0.04024105230472359
FS_Method,infgain,Integrated_Score,0.04110225489389813
FS_Method,noSelect,Integrated_Score,0.04597241892223011
Scaler,minmax,Accuracy,0.04290172180048912
Scaler,standard,Accuracy,0.03819498025288668
Scaler,minmax,Macro_Precision,0.04858720724322876
Scaler,standard,Macro_Precision,0.04456589446586795
Scaler,minmax,Macro_Recall,0.043316309162721126
Scaler,standard,Macro_Recall,0.03761054971770583
Scaler,minmax,Macro_F1,0.044742579970673664
Scaler,standard,Macro_F1,0.03978512313345454
Scaler,minmax,Weighted_Precision,0.04124862990669273
Scaler,standard,Weighted_Precision,0.03740465874655761
Scaler,minmax,Weighted_Recall,0.04290172180048912
Scaler,standard,Weighted_Recall,0.03819498025288668
Scaler,minmax,Weighted_F1,0.04141025156641105
Scaler,standard,Weighted_F1,0.036963904984960994
Scaler,minmax,Micro_Precision,0.04290172180048912
Scaler,standard,Micro_Precision,0.03819498025288668
Scaler,minmax,Micro_Recall,0.04290172180048912
Scaler,standard,Micro_Recall,0.03819498025288668
Scaler,minmax,Micro_F1,0.04290172180048912
Scaler,standard,Micro_F1,0.03819498025288667
Scaler,minmax,Integrated_Score,0.04284395410802004
Scaler,standard,Integrated_Score,0.038474862745049875
AugName,noAug,Accuracy,0.04139668910022547
AugName,noAug,Macro_Precision,0.04735206443283978
AugName,noAug,Macro_Recall,0.04115398275404082
AugName,noAug,Macro_F1,0.04310855235519041
AugName,noAug,Weighted_Precision,0.03994858684433363
AugName,noAug,Weighted_Recall,0.04139668910022547
AugName,noAug,Weighted_F1,0.040018176143026725
AugName,noAug,Micro_Precision,0.04139668910022547
AugName,noAug,Micro_Recall,0.04139668910022547
AugName,noAug,Micro_F1,0.04139668910022546
AugName,noAug,Integrated_Score,0.041456501501716564
ImblName,noImbl,Accuracy,0.04139668910022547
ImblName,noImbl,Macro_Precision,0.04735206443283978
ImblName,noImbl,Macro_Recall,0.04115398275404082
ImblName,noImbl,Macro_F1,0.04310855235519041
ImblName,noImbl,Weighted_Precision,0.03994858684433363
ImblName,noImbl,Weighted_Recall,0.04139668910022547
ImblName,noImbl,Weighted_F1,0.040018176143026725
ImblName,noImbl,Micro_Precision,0.04139668910022547
ImblName,noImbl,Micro_Recall,0.04139668910022547
ImblName,noImbl,Micro_F1,0.04139668910022546
ImblName,noImbl,Integrated_Score,0.041456501501716564
Model,DTmodel,Accuracy,0.03437786079181579
Model,GradientBoosting,Accuracy,0.03260045258951563
Model,LogisticRegression,Accuracy,0.029121274429527347
Model,XGBmodel,Accuracy,0.02878133620453134
Model,random_forest,Accuracy,0.03672240028401011
Model,sklearn_SVM,Accuracy,0.034111269714127396
Model,DTmodel,Macro_Precision,0.03754939170643027
Model,GradientBoosting,Macro_Precision,0.036434505887817374
Model,LogisticRegression,Macro_Precision,0.033457235148748286
Model,XGBmodel,Macro_Precision,0.034785296741594196
Model,random_forest,Macro_Precision,0.03850878852498862
Model,sklearn_SVM,Macro_Precision,0.045038877804586694
Model,DTmodel,Macro_Recall,0.04017111939469394
Model,GradientBoosting,Macro_Recall,0.03276524693775748
Model,LogisticRegression,Macro_Recall,0.023575626597289956
Model,XGBmodel,Macro_Recall,0.03516808714462407
Model,random_forest,Macro_Recall,0.03521882236542732
Model,sklearn_SVM,Macro_Recall,0.03651015290183238
Model,DTmodel,Macro_F1,0.03896003817156858
Model,GradientBoosting,Macro_F1,0.03399105450295098
Model,LogisticRegression,Macro_F1,0.026259954043567495
Model,XGBmodel,Macro_F1,0.03561892397756709
Model,random_forest,Macro_F1,0.03697423358290849
Model,sklearn_SVM,Macro_F1,0.038719290523827554
Model,DTmodel,Weighted_Precision,0.035162141881268226
Model,GradientBoosting,Weighted_Precision,0.031027672883323157
Model,LogisticRegression,Weighted_Precision,0.025081674073880032
Model,XGBmodel,Weighted_Precision,0.03065306396319109
Model,random_forest,Weighted_Precision,0.03303496630728073
Model,sklearn_SVM,Weighted_Precision,0.03748832467505455
Model,DTmodel,Weighted_Recall,0.03437786079181579
Model,GradientBoosting,Weighted_Recall,0.03260045258951563
Model,LogisticRegression,Weighted_Recall,0.029121274429527343
Model,XGBmodel,Weighted_Recall,0.028781336204531337
Model,random_forest,Weighted_Recall,0.03672240028401011
Model,sklearn_SVM,Weighted_Recall,0.03411126971412739
Model,DTmodel,Weighted_F1,0.034675503000660746
Model,GradientBoosting,Weighted_F1,0.031494794548007216
Model,LogisticRegression,Weighted_F1,0.02624372285190988
Model,XGBmodel,Weighted_F1,0.0304912824349666
Model,random_forest,Weighted_F1,0.03519194386048165
Model,sklearn_SVM,Weighted_F1,0.034441133406002244
Model,DTmodel,Micro_Precision,0.03437786079181579
Model,GradientBoosting,Micro_Precision,0.03260045258951563
Model,LogisticRegression,Micro_Precision,0.029121274429527347
Model,XGBmodel,Micro_Precision,0.02878133620453134
Model,random_forest,Micro_Precision,0.03672240028401011
Model,sklearn_SVM,Micro_Precision,0.034111269714127396
Model,DTmodel,Micro_Recall,0.03437786079181579
Model,GradientBoosting,Micro_Recall,0.03260045258951563
Model,LogisticRegression,Micro_Recall,0.029121274429527347
Model,XGBmodel,Micro_Recall,0.02878133620453134
Model,random_forest,Micro_Recall,0.03672240028401011
Model,sklearn_SVM,Micro_Recall,0.034111269714127396
Model,DTmodel,Micro_F1,0.03437786079181579
Model,GradientBoosting,Micro_F1,0.03260045258951562
Model,LogisticRegression,Micro_F1,0.029121274429527347
Model,XGBmodel,Micro_F1,0.028781336204531324
Model,random_forest,Micro_F1,0.0367224002840101
Model,sklearn_SVM,Micro_F1,0.03411126971412739
Model,DTmodel,Integrated_Score,0.035673302383490195
Model,GradientBoosting,Integrated_Score,0.032610425174047226
Model,LogisticRegression,Integrated_Score,0.027158043760937653
Model,XGBmodel,Integrated_Score,0.031058297260885704
Model,random_forest,Integrated_Score,0.03590968524122021
