Cluster,Part
9,AugName:noAug
9,FeatureNum:6.0
9,FeatureNum:7.0
9,ImblName:noImbl
9,Norm_Order:first
9,Norm_Order:last
9,Prob_Threshold:0.5
7,FS_Method:biMaxInfgain
7,Model:random_forest
7,Scaler:standard
6,FS_Method:infgain
6,FS_Method:noSelect
6,FeatureNum:4.0
6,FeatureNum:8.0
4,FeatureNum:5.0
4,Model:GradientBoosting
4,Model:XGBmodel
10,Model:DTmodel
1,Model:LogisticRegression
1,Model:sklearn_SVM
8,Scaler:minmax
8,Split_Ratio:0.25
2,Split_Ratio:0.1
3,Split_Ratio:0.15
3,Split_Ratio:0.2
5,Split_Ratio:0.3
