Part_Label,Split_Ratio:0.1,Model:sklearn_SVM,Model:LogisticRegression,Model:GradientBoosting,Split_Ratio:0.3,Model:XGBmodel,FeatureNum:5.0,FS_Method:biMaxInfgain,Model:random_forest,FeatureNum:7.0
Split_Ratio:0.1,,0.9795099618012362,0.9888168746054723,0.9841324184853272,,0.9695021698457092,0.9930718129386894,0.9891772996568026,0.9607623044353634,0.9921635934649483
Model:sklearn_SVM,0.9795099618012362,,,,0.9847833972610097,,0.9518898522228569,0.9427591374008123,,0.9486486201492473
Model:LogisticRegression,0.9888168746054723,,,,0.9919165137335461,,0.9661553877310544,0.9583039812705247,,0.9636071788945363
Model:GradientBoosting,0.9841324184853272,,,,0.9779719715650335,,0.9970561323639695,0.9983124839110691,,0.9980999025349503
Split_Ratio:0.3,,0.9847833972610097,0.9919165137335461,0.9779719715650335,,0.961428007312242,0.9903862167914144,0.9862037657188678,0.9527347649006414,0.9887344560335358
Model:XGBmodel,0.9695021698457092,,,,0.961428007312242,,0.9899465045967591,0.993151105785659,,0.9917440802957326
FeatureNum:5.0,0.9930718129386894,0.9518898522228569,0.9661553877310544,0.9970561323639695,0.9903862167914144,0.9899465045967591,,0.9995477641746426,0.9855032762561168,
FS_Method:biMaxInfgain,0.9891772996568026,0.9427591374008123,0.9583039812705247,0.9983124839110691,0.9862037657188678,0.993151105785659,0.9995477641746426,,0.9897424115150901,0.9996732985537929
Model:random_forest,0.9607623044353634,,,,0.9527347649006414,,0.9855032762561168,0.9897424115150901,,0.9874092442473091
FeatureNum:7.0,0.9921635934649483,0.9486486201492473,0.9636071788945363,0.9980999025349503,0.9887344560335358,0.9917440802957326,,0.9996732985537929,0.9874092442473091,
